model,parameter,mean,median,ci_2.5,ci_97.5,p_lt_0,p_gt_0,odds_ratio_per_1sd
ASJP Beta-Binomial primary,beta_lat,-0.15060880413782524,-0.150880511295931,-0.19542037747195684,-0.10501097457847257,1.0,0.0,0.859950446884919
ASJP Beta-Binomial between-family,beta_between,-0.3480619918284372,-0.3480120309389172,-0.43102303096827865,-0.2657841455806143,1.0,0.0,
ASJP Beta-Binomial within-family,beta_within,-0.03279393165373154,-0.03278258845353566,-0.05457243697922954,-0.011405803854397368,0.9987,0.0013,
ASJP Beta-Binomial initial slope,beta_lat_initial,0.028499126132333588,0.028521654356702134,-0.005330811071385629,0.0628011292449853,0.0482,0.9518,
ASJP Beta-Binomial final slope,beta_lat_final,-0.28470984251294057,-0.2849887722500779,-0.31627559730260935,-0.25206147209706753,1.0,0.0,
ASJP Beta-Binomial final-minus-initial,beta_lat_final_delta,-0.31320896864527414,-0.31319108536408996,-0.34230473248502985,-0.28407952065787573,1.0,0.0,
ASJP BB North slope,beta_lat_north,-0.23033556688656198,-0.23011290551380867,-0.28097471185774126,-0.1798057624690587,1.0,0.0,
ASJP BB South slope,beta_lat_south,0.5265472302707817,0.5259226050581991,0.4153865775104514,0.6415085076559297,0.0,1.0,
ASJP BB South-minus-North,beta_lat_south_delta,0.7568827971573436,0.7564225872856489,0.6369131347809633,0.879132123760367,0.0,1.0,
Lexibank Beta-Binomial replication,beta_lat,-0.13825022259974432,-0.13869478527093976,-0.21054084476044516,-0.06254006777672805,0.9998,0.0002,0.8704936754077968
