analysis,parameter,median,ci_2.5,ci_97.5,p_lt_0,p_gt_0
ASJP primary,beta_lat,-0.18992579180975422,-0.20272149206432105,-0.17702068445932334,1.0,0.0
ASJP Northern Hemisphere,beta_lat_north,-0.25814973661793006,-0.2727743588656125,-0.2433451980943923,1.0,0.0
ASJP Southern Hemisphere,beta_lat_south,0.5774433544776524,0.5418010235662315,0.6129658111766948,0.0,1.0
ASJP South-minus-North,beta_lat_south_delta,0.8356018558408322,0.7972394048410588,0.8736054913709254,0.0,1.0
ASJP between-family,beta_between,-0.511531194302673,-0.6484571953249488,-0.3768835422663436,1.0,0.0
ASJP within-family,beta_within,-0.08335926121976088,-0.08906689562899484,-0.07772936501417795,1.0,0.0
ASJP family + macroarea,beta_lat,-0.16741394599961784,-0.18184681545868556,-0.15281455387726012,1.0,0.0
ASJP initial slope,beta_lat_initial,0.00874151849052754,-0.025926302610749078,0.04391394719774289,0.3085,0.6915
ASJP final slope,beta_lat_final,-0.25679866994404643,-0.2914067845676328,-0.22233362220762987,1.0,0.0
ASJP final-minus-initial,beta_lat_final_delta,-0.26562914109405117,-0.2754829615908224,-0.25608736954520783,1.0,0.0
Lexibank replication,beta_lat,-0.06845604908121258,-0.07677213299068728,-0.06006036153090375,1.0,0.0
