database,min_n_total,n_languages,share_exact_one,share_ge_0_99,share_ge_0_95,median_n_total
ASJP,20,10886,0.1924490170861657,0.1945618225243432,0.25675179129156717,40.0
ASJP,40,5655,0.17984084880636605,0.1839080459770115,0.2530503978779841,57.0
ASJP,60,2699,0.1793256761763616,0.18784735087069285,0.2719525750277881,88.0
ASJP,80,1850,0.19405405405405404,0.2064864864864865,0.2918918918918919,96.0
ASJP,100,743,0.1063257065948856,0.13728129205921938,0.18977119784656796,109.0
Lexibank,20,5501,0.17324122886747864,0.2374113797491365,0.3230321759680058,214.0
Lexibank,40,5501,0.17324122886747864,0.2374113797491365,0.3230321759680058,214.0
Lexibank,60,5501,0.17324122886747864,0.2374113797491365,0.3230321759680058,214.0
Lexibank,80,5501,0.17324122886747864,0.2374113797491365,0.3230321759680058,214.0
Lexibank,100,5009,0.1595128768217209,0.2299860251547215,0.3106408464763426,230.0
